mag_id,sample_id
spire_mag_01923446,SAMEA3360666
spire_mag_01923447,SAMEA3360666
spire_mag_01923448,SAMEA3360666
spire_mag_01923449,SAMEA3360666
spire_mag_01923450,SAMEA3360666
spire_mag_01923451,SAMEA3360666
spire_mag_01923452,SAMEA3360684
spire_mag_01923453,SAMEA3360684
spire_mag_01923454,SAMEA3360684
spire_mag_01923455,SAMEA3360684
spire_mag_01923456,SAMEA3360684
spire_mag_01923457,SAMEA3360684
spire_mag_01923458,SAMEA3360684
spire_mag_01923459,SAMEA3360684
spire_mag_01923460,SAMEA3360684
spire_mag_01923461,SAMEA3360684
spire_mag_01923462,SAMEA3360684
spire_mag_01923463,SAMEA3360684
spire_mag_01923464,SAMEA3360675
spire_mag_01923465,SAMEA3360675
spire_mag_01923466,SAMEA3360675
spire_mag_01923467,SAMEA3360675
spire_mag_01923468,SAMEA3360675
spire_mag_01923469,SAMEA3360693
spire_mag_01923470,SAMEA3360693
spire_mag_01923471,SAMEA3360693
spire_mag_01923472,SAMEA3360693
spire_mag_01923473,SAMEA3360693
spire_mag_01923474,SAMEA3360657
spire_mag_01923475,SAMEA3360657
spire_mag_01923476,SAMEA3360657
spire_mag_01923477,SAMEA3360657
spire_mag_01923478,SAMEA3360657
spire_mag_01923479,SAMEA3360703
spire_mag_01923480,SAMEA3360703
spire_mag_01923481,SAMEA3360688
spire_mag_01923482,SAMEA3360688
spire_mag_01923483,SAMEA3360688
spire_mag_01923484,SAMEA3360688
spire_mag_01923485,SAMEA3360688
spire_mag_01923486,SAMEA3360688
spire_mag_01923487,SAMEA3360688
spire_mag_01923488,SAMEA3360688
spire_mag_01923489,SAMEA3360688
spire_mag_01923490,SAMEA3360688
spire_mag_01923491,SAMEA3360688
spire_mag_01923492,SAMEA3360688
spire_mag_01923493,SAMEA3360688
spire_mag_01923494,SAMEA3360679
spire_mag_01923495,SAMEA3360679
spire_mag_01923496,SAMEA3360679
spire_mag_01923497,SAMEA3360679
spire_mag_01923498,SAMEA3360679
spire_mag_01923499,SAMEA3360679
spire_mag_01923500,SAMEA3360679
spire_mag_01923501,SAMEA3360679
spire_mag_01923502,SAMEA3360679
spire_mag_01923503,SAMEA3360679
spire_mag_01923504,SAMEA3360697
spire_mag_01923505,SAMEA3360697
spire_mag_01923506,SAMEA3360697
spire_mag_01923507,SAMEA3360697
spire_mag_01923508,SAMEA3360697
spire_mag_01923509,SAMEA3360662
spire_mag_01923510,SAMEA3360662
spire_mag_01923511,SAMEA3360662
spire_mag_01923512,SAMEA3360662
spire_mag_01923513,SAMEA3360662
spire_mag_01923514,SAMEA3360662
spire_mag_01923515,SAMEA3360662
spire_mag_01923516,SAMEA3360662
spire_mag_01923517,SAMEA3360662
spire_mag_01923518,SAMEA3360662
spire_mag_01923519,SAMEA3360662
spire_mag_01923520,SAMEA3360662
spire_mag_01923521,SAMEA3360662
spire_mag_01923522,SAMEA3360662
spire_mag_01923523,SAMEA3360662
spire_mag_01923524,SAMEA3360662
spire_mag_01923525,SAMEA3360662
spire_mag_01923526,SAMEA3360662
spire_mag_01923527,SAMEA3360662
spire_mag_01923528,SAMEA3360662
spire_mag_01923529,SAMEA3360680
spire_mag_01923530,SAMEA3360680
spire_mag_01923531,SAMEA3360680
spire_mag_01923532,SAMEA3360680
spire_mag_01923533,SAMEA3360680
spire_mag_01923534,SAMEA3360680
spire_mag_01923535,SAMEA3360680
spire_mag_01923536,SAMEA3360680
spire_mag_01923537,SAMEA3360680
spire_mag_01923538,SAMEA3360680
spire_mag_01923539,SAMEA3360680
spire_mag_01923540,SAMEA3360680
spire_mag_01923541,SAMEA3360680
spire_mag_01923542,SAMEA3360668
spire_mag_01923543,SAMEA3360668
spire_mag_01923544,SAMEA3360668
spire_mag_01923545,SAMEA3360668
spire_mag_01923546,SAMEA3360668
spire_mag_01923547,SAMEA3360668
spire_mag_01923548,SAMEA3360668
spire_mag_01923549,SAMEA3360668
spire_mag_01923550,SAMEA3360668
spire_mag_01923551,SAMEA3360668
spire_mag_01923552,SAMEA3360668
spire_mag_01923553,SAMEA3360668
spire_mag_01923554,SAMEA3360668
spire_mag_01923555,SAMEA3360668
spire_mag_01923556,SAMEA3360668
spire_mag_01923557,SAMEA3360668
spire_mag_01923558,SAMEA3360668
spire_mag_01923559,SAMEA3360668
spire_mag_01923560,SAMEA3360668
spire_mag_01923561,SAMEA3360668
spire_mag_01923562,SAMEA3360668
spire_mag_01923563,SAMEA3360668
spire_mag_01923564,SAMEA3360668
spire_mag_01923565,SAMEA3360668
spire_mag_01923566,SAMEA3360668
spire_mag_01923567,SAMEA3360668
spire_mag_01923568,SAMEA3360668
spire_mag_01923569,SAMEA3360686
spire_mag_01923570,SAMEA3360686
spire_mag_01923571,SAMEA3360686
spire_mag_01923572,SAMEA3360677
spire_mag_01923573,SAMEA3360695
spire_mag_01923574,SAMEA3360695
spire_mag_01923575,SAMEA3360695
spire_mag_01923576,SAMEA3360695
spire_mag_01923577,SAMEA3360659
spire_mag_01923578,SAMEA3360660
spire_mag_01923579,SAMEA3360660
spire_mag_01923580,SAMEA3360660
spire_mag_01923581,SAMEA3360660
spire_mag_01923582,SAMEA3360660
spire_mag_01923583,SAMEA3360705
spire_mag_01923584,SAMEA3360705
spire_mag_01923585,SAMEA3360705
spire_mag_01923586,SAMEA3360701
spire_mag_01923587,SAMEA3360664
spire_mag_01923588,SAMEA3360664
spire_mag_01923589,SAMEA3360664
spire_mag_01923590,SAMEA3360664
spire_mag_01923591,SAMEA3360664
spire_mag_01923592,SAMEA3360664
spire_mag_01923593,SAMEA3360664
spire_mag_01923594,SAMEA3360664
spire_mag_01923595,SAMEA3360664
spire_mag_01923596,SAMEA3360664
spire_mag_01923597,SAMEA3360664
spire_mag_01923598,SAMEA3360673
spire_mag_01923599,SAMEA3360673
spire_mag_01923600,SAMEA3360673
spire_mag_01923601,SAMEA3360667
spire_mag_01923602,SAMEA3360667
spire_mag_01923603,SAMEA3360667
spire_mag_01923604,SAMEA3360667
spire_mag_01923605,SAMEA3360667
spire_mag_01923606,SAMEA3360667
spire_mag_01923607,SAMEA3360667
spire_mag_01923608,SAMEA3360667
spire_mag_01923609,SAMEA3360667
spire_mag_01923610,SAMEA3360667
spire_mag_01923611,SAMEA3360667
spire_mag_01923612,SAMEA3360667
spire_mag_01923613,SAMEA3360667
spire_mag_01923614,SAMEA3360676
spire_mag_01923615,SAMEA3360676
spire_mag_01923616,SAMEA3360676
spire_mag_01923617,SAMEA3360676
spire_mag_01923618,SAMEA3360676
spire_mag_01923619,SAMEA3360676
spire_mag_01923620,SAMEA3360676
spire_mag_01923621,SAMEA3360676
spire_mag_01923622,SAMEA3360658
spire_mag_01923623,SAMEA3360658
spire_mag_01923624,SAMEA3360658
spire_mag_01923625,SAMEA3360658
spire_mag_01923626,SAMEA3360658
spire_mag_01923627,SAMEA3360658
spire_mag_01923628,SAMEA3360658
spire_mag_01923629,SAMEA3360658
spire_mag_01923630,SAMEA3360658
spire_mag_01923631,SAMEA3360658
spire_mag_01923632,SAMEA3360658
spire_mag_01923633,SAMEA3360658
spire_mag_01923634,SAMEA3360658
spire_mag_01923635,SAMEA3360658
spire_mag_01923636,SAMEA3360658
spire_mag_01923637,SAMEA3360694
spire_mag_01923638,SAMEA3360694
spire_mag_01923639,SAMEA3360694
spire_mag_01923640,SAMEA3360694
spire_mag_01923641,SAMEA3360694
spire_mag_01923642,SAMEA3360694
spire_mag_01923643,SAMEA3360694
spire_mag_01923644,SAMEA3360694
spire_mag_01923645,SAMEA3360694
spire_mag_01923646,SAMEA3360704
spire_mag_01923647,SAMEA3360704
spire_mag_01923648,SAMEA3360704
spire_mag_01923649,SAMEA3360704
spire_mag_01923650,SAMEA3360704
spire_mag_01923651,SAMEA3360704
spire_mag_01923652,SAMEA3360704
spire_mag_01923653,SAMEA3360700
spire_mag_01923654,SAMEA3360700
spire_mag_01923655,SAMEA3360700
spire_mag_01923656,SAMEA3360700
spire_mag_01923657,SAMEA3360700
spire_mag_01923658,SAMEA3360700
spire_mag_01923659,SAMEA3360700
spire_mag_01923660,SAMEA3360700
spire_mag_01923661,SAMEA3360700
spire_mag_01923662,SAMEA3360700
spire_mag_01923663,SAMEA3360700
spire_mag_01923664,SAMEA3360700
spire_mag_01923665,SAMEA3360689
spire_mag_01923666,SAMEA3360689
spire_mag_01923667,SAMEA3360689
spire_mag_01923668,SAMEA3360689
spire_mag_01923669,SAMEA3360689
spire_mag_01923670,SAMEA3360689
spire_mag_01923671,SAMEA3360689
spire_mag_01923672,SAMEA3360689
spire_mag_01923673,SAMEA3360689
spire_mag_01923674,SAMEA3360689
spire_mag_01923675,SAMEA3360689
spire_mag_01923676,SAMEA3360663
spire_mag_01923677,SAMEA3360663
spire_mag_01923678,SAMEA3360663
spire_mag_01923679,SAMEA3360663
spire_mag_01923680,SAMEA3360663
spire_mag_01923681,SAMEA3360681
spire_mag_01923682,SAMEA3360681
spire_mag_01923683,SAMEA3360681
spire_mag_01923684,SAMEA3360681
spire_mag_01923685,SAMEA3360681
spire_mag_01923686,SAMEA3360681
spire_mag_01923687,SAMEA3360681
spire_mag_01923688,SAMEA3360681
spire_mag_01923689,SAMEA3360672
spire_mag_01923690,SAMEA3360672
spire_mag_01923691,SAMEA3360672
spire_mag_01923692,SAMEA3360690
spire_mag_01923693,SAMEA3360690
spire_mag_01923694,SAMEA3360669
spire_mag_01923695,SAMEA3360687
spire_mag_01923696,SAMEA3360687
spire_mag_01923697,SAMEA3360687
spire_mag_01923698,SAMEA3360687
spire_mag_01923699,SAMEA3360687
spire_mag_01923700,SAMEA3360696
spire_mag_01923701,SAMEA3360696
spire_mag_01923702,SAMEA3360696
spire_mag_01923703,SAMEA3360696
spire_mag_01923704,SAMEA3360696
spire_mag_01923705,SAMEA3360661
spire_mag_01923706,SAMEA3360661
spire_mag_01923707,SAMEA3360661
spire_mag_01923708,SAMEA3360661
spire_mag_01923709,SAMEA3360661
spire_mag_01923710,SAMEA3360661
spire_mag_01923711,SAMEA3360661
spire_mag_01923712,SAMEA3360661
spire_mag_01923713,SAMEA3360661
spire_mag_01923714,SAMEA3360661
spire_mag_01923715,SAMEA3360661
spire_mag_01923716,SAMEA3360661
spire_mag_01923717,SAMEA3360661
spire_mag_01923718,SAMEA3360661
spire_mag_01923719,SAMEA3360661
spire_mag_01923720,SAMEA3360670
spire_mag_01923721,SAMEA3360670
spire_mag_01923722,SAMEA3360670
spire_mag_01923723,SAMEA3360670
spire_mag_01923724,SAMEA3360670
spire_mag_01923725,SAMEA3360670
spire_mag_01923726,SAMEA3360670
spire_mag_01923727,SAMEA3360670
spire_mag_01923728,SAMEA3360702
spire_mag_01923729,SAMEA3360665
spire_mag_01923730,SAMEA3360665
spire_mag_01923731,SAMEA3360665
spire_mag_01923732,SAMEA3360665
spire_mag_01923733,SAMEA3360665
spire_mag_01923734,SAMEA3360665
spire_mag_01923735,SAMEA3360665
spire_mag_01923736,SAMEA3360665
spire_mag_01923737,SAMEA3360665
spire_mag_01923738,SAMEA3360665
spire_mag_01923739,SAMEA3360665
spire_mag_01923740,SAMEA3360665
spire_mag_01923741,SAMEA3360665
spire_mag_01923742,SAMEA3360665
spire_mag_01923743,SAMEA3360665
spire_mag_01923744,SAMEA3360665
spire_mag_01923745,SAMEA3360665
spire_mag_01923746,SAMEA3360665
spire_mag_01923747,SAMEA3360665
spire_mag_01923748,SAMEA3360665
spire_mag_01923749,SAMEA3360665
spire_mag_01923750,SAMEA3360665
spire_mag_01923751,SAMEA3360665
spire_mag_01923752,SAMEA3360665
spire_mag_01923753,SAMEA3360665
spire_mag_01923754,SAMEA3360665
spire_mag_01923755,SAMEA3360674
spire_mag_01923756,SAMEA3360674
spire_mag_01923757,SAMEA3360674
spire_mag_01923758,SAMEA3360674
spire_mag_01923759,SAMEA3360692
